"Year","Trade.Flow","Reporter","Commodity.Code","Trade.Value..US..","Group"
2010,"Exports","Ukraine",707,45563,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Ukraine",707,47528,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Ukraine",707,280,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,200,"CIS, excluding Belarus and Kazakhstan"
2010,"Re-exports","Rep. of Moldova",707,56189,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Rep. of Moldova",707,56189,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,590,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Rep. of Moldova",707,72512,"CIS, excluding Belarus and Kazakhstan"
2010,"Re-exports","Rep. of Moldova",707,72512,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Rep. of Moldova",707,14895,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,254,"CIS, excluding Belarus and Kazakhstan"
2010,"Re-exports","Rep. of Moldova",707,14895,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,342,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,486,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,1322,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,679,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,390,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,727,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,30725,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,824,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Rep. of Moldova",707,5461,"CIS, excluding Belarus and Kazakhstan"
2010,"Re-exports","Rep. of Moldova",707,5461,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Rep. of Moldova",707,27971,"CIS, excluding Belarus and Kazakhstan"
2010,"Re-exports","Rep. of Moldova",707,27971,"CIS, excluding Belarus and Kazakhstan"
2010,"Exports","Armenia",707,42,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Kyrgyzstan",707,6292,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Kyrgyzstan",707,15415,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Kyrgyzstan",707,35541,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Kyrgyzstan",707,42045,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Kyrgyzstan",707,42045,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,639,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,2987,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,1257,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,485,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,1183,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,1892,"CIS, excluding Belarus and Kazakhstan"
2011,"Exports","Armenia",707,478,"CIS, excluding Belarus and Kazakhstan"
